,brand,category,stars,num_of_reviews,disc_price,act_price
356,ASIAN,"Men's Skypee-31 Sports Running Shoes & Walking,Gym Shoes l Casual Sneaker Shoes for Men's & Boy's  ",3.8,1699,549.0,799.0
357,Puma,Men's Scorch Runner Black Sports Running Shoe 194459  ,0.0,0,3249.0,4999.0
358,Centrino,Mens 8683 Formal Shoe  ,3.7,200,899.0,2499.0
359,Amazon Brand - Symactive,Mens Running Shoe  ,3.9,353,439.0,2199.0
360,ASIAN,Shoes For Men I Boys With  ,3.7,249,1099.0,1999.0
361,Bourge,Men's Loire-z105 Running Shoes  ,3.9,229,339.0,1699.0
362,Liberty,FreedomBy Sports Shoes for Men's  ,2.1,3,719.0,799.0
363,Adidas,Mens Hyperon-1.0-m Running Shoe  ,3.9,1692,136484.0,2999.0
364,ASIAN,"Men's TORNADO-01 Sports Running,Walking,Gym Shoes for Men I Casual Sports Shoes for Boys with Beeds Technology Sole for Extra Jump I Memory Foam Insole Shoes for Men's & Boy's  ",4.0,10,1249.0,2299.0
365,Columbus,"Apollo Plus Sports Shoes - Running, Walking, Gym, Lightweight, Comfort Grip - for Men's & Boy  ",0.0,0,1495.0,1699.0
366,ASIAN,"Women's Fashion-13 Sports Running,Walking & Gym Shoes for Eva Sole Casual Sneaker Lightweight Lace-Up Shoes for Girl's  ",3.8,4137,524.0,999.0
367,Campus,Mens Syrus Running Shoes  ,4.0,3885,1124.0,1499.0
368,Sparx,Mens Sx0421g Running Shoes  ,4.1,382,714.0,1099.0
369,Bourge,Boys Orange-z10 Running Shoes  ,4.2,37,649.0,1599.0
370,Puma,Womens Pop WNS Running Shoes  ,4.2,228,2070.0,4499.0
371,Champs,SOLLY-1-ON Women's Light Weight Casual Shoes  ,3.2,12,540.0,999.0
372,ANDUNE,Men's Barefoot & Minimalist Cross Training Shoes - Grey Bolts | Wide Toe Box | Zero Drop Sole |  ,4.0,98,2499.0,2799.0
373,ANDUNE,Men's Barefoot & Minimalist Shoes - Black Blaze | Wide Toe Box | Zero Drop Sole  ,3.6,78,2499.0,2799.0
374,ASIAN,Running Shoes Gym For Men  ,3.9,15113,524.0,699.0
375,Sparx,Men's Running Shoes  ,4.0,7105,1274.0,1499.0
